UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BEZIRKSNUM,SEE_FLAECH,REVISION_Q,NAME,KANTONSNUM,ICC,EINWOHNERZ,BFS_NUMMER,GEM_TEIL,GEM_FLAECH,SHN
{D5A9677C-FE38-44F6-B0E8-3177F6252C81},2018/11/22,2008/11/24,"2000","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,"1843",,2018_Aufbau,Scuol,"18",CH,"4598","3762","0",43861,CH18433762
{B55F9EAE-EB69-4468-A41C-7BB28A6699EE},2018/11/21,2008/11/24,"2006","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,,,2018_Aufbau,Glarus Süd,"8",CH,"9581","1631","0",43003,CH08001631
{AB2BA4A5-EB8C-40C7-A259-271DAC93C767},2018/11/21,2008/11/24,"2000","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,"1843",,2018_Aufbau,Zernez,"18",CH,"1532","3746","0",34404,CH18433746
{550D0610-1EE3-4748-8F29-88072753FFDC},2018/11/21,2008/11/24,"2000","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,"1841",,2018_Aufbau,Surses,"18",CH,"2343","3543","0",32377,CH18413543
{C9A12E0C-B661-4ED3-B5D2-C604EC55C7A6},2018/11/21,2008/11/24,"1900","1","2019","1",Verbessert,AV,"2019","1",Kantonsgebiet,,29756,2018_Aufbau,Lac Léman (VD),"22",CH,,"9758","1",29756,CH22009758
{5B0C1705-1D2B-4E53-9970-6BC3DE33A0F7},2018/11/22,2008/11/24,"1997","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,"2303",,2018_Aufbau,Bagnes,"23",CH,"8100","6031","0",28410,CH23036031
{56C0B03A-B593-4156-B365-FF6FA1168B58},2018/11/21,2008/11/24,"2000","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,"1849",,2018_Aufbau,Davos,"18",CH,"10937","3851","0",28400,CH18493851
{651D5F41-5B3F-4E14-AD47-35160A88F593},2018/11/22,2008/11/24,"2000","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,"1846",,2018_Aufbau,Bregaglia,"18",CH,"1531","3792","0",25142,CH18463792
{2B3CC864-CEF3-473A-97F5-34B5EC070182},2018/11/21,2008/11/24,"1997","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,"2311",,2018_Aufbau,Anniviers,"23",CH,"2721","6252","0",24337,CH23116252
{E1773FB1-2D32-4EB3-9C38-EC5934950077},2018/11/21,2008/11/24,"1997","1","2019","1",Verbessert,AV,"2019","1",Gemeindegebiet,"2313",,2018_Aufbau,Zermatt,"23",CH,"5643","6300","0",24291,CH23136300
